generation,individual_id,fitness,wins,draws,losses,depth,search_mode,lmr_min_ply,lmr_full_depth_moves,pawn,knight,bishop,rook,queen,doubled_pawn_penalty,isolated_pawn_penalty,passed_pawn_bonus,protected_pawn_bonus,mobility_bonus,bishop_pair_bonus,king_shield_bonus,undeveloped_minor_penalty
0,29,2.0049,0,2,0,4,instinct,,,126,299,320,530,863,46,43,7,41,11,51,21,20
0,6,1.9951,0,2,0,4,instinct,,,133,212,235,480,683,45,14,2,78,26,62,36,76
0,19,2.00548,0,2,0,4,instinct,,,101,179,207,600,614,49,79,40,33,1,2,22,27
0,15,1.99452,0,2,0,4,instinct,,,137,209,277,376,949,65,17,15,33,27,71,43,26
0,17,2.01249,0,2,0,4,instinct,,,80,183,252,484,767,17,56,9,21,10,19,76,13
0,4,1.98751,0,2,0,4,instinct,,,128,184,240,366,605,76,78,45,65,11,24,1,7
0,3,1.99492,0,2,0,4,instinct,,,106,196,241,372,914,16,30,41,79,18,37,3,69
0,22,2.00508,0,2,0,4,instinct,,,90,214,252,396,879,69,47,26,54,6,1,57,41
0,11,1.97808,0,2,0,4,instinct,,,84,224,212,517,730,59,47,51,22,27,45,38,31
0,10,2.02192,0,2,0,4,instinct,,,136,305,271,368,971,52,9,74,69,26,50,36,26
0,24,2.03052,0,2,0,4,instinct,,,132,172,192,582,817,56,20,18,53,5,66,79,44
0,14,1.96948,0,2,0,4,instinct,,,122,232,258,539,681,76,6,48,23,21,13,71,75
0,5,1.99609,0,2,0,4,instinct,,,128,198,238,521,648,40,67,2,14,28,31,20,14
0,8,2.00391,0,2,0,4,instinct,,,133,204,258,558,835,78,22,49,43,8,11,23,64
0,26,1.97512,0,2,0,4,instinct,,,129,295,320,575,943,32,63,71,52,26,6,75,13
0,2,2.02488,0,2,0,4,instinct,,,123,211,272,481,602,1,23,42,49,12,11,3,23
0,0,1.96527,0,2,0,4,instinct,,,136,341,186,533,912,48,12,36,12,3,4,37,70
0,30,2.03473,0,2,0,4,instinct,,,121,345,346,448,795,73,51,35,64,10,40,52,46
0,25,1.93914,0,2,0,4,instinct,,,117,202,198,600,637,72,45,72,71,19,15,27,22
0,20,2.06086,0,2,0,4,instinct,,,125,198,286,386,812,36,79,44,19,18,54,6,61
0,9,1.95311,0,2,0,4,instinct,,,85,153,348,456,909,16,23,0,1,25,16,57,57
0,1,2.04689,0,2,0,4,instinct,,,122,178,292,513,608,78,58,67,76,6,0,14,80
0,7,2.0599,0,2,0,4,instinct,,,143,336,270,532,969,7,46,15,42,1,77,26,68
0,31,1.9401,0,2,0,4,instinct,,,114,323,189,407,889,22,46,1,62,20,3,14,80
0,21,2.02192,0,2,0,4,instinct,,,96,198,296,551,747,51,79,51,32,16,66,7,64
0,27,1.97808,0,2,0,4,instinct,,,143,284,271,495,603,8,76,53,78,0,22,13,24
0,23,1.95114,0,2,0,4,instinct,,,96,220,279,374,669,55,32,31,41,29,67,11,54
0,18,2.04886,0,2,0,4,instinct,,,95,254,262,526,761,5,78,20,77,7,20,56,40
0,28,2.06715,0,2,0,4,instinct,,,114,289,240,513,998,14,57,1,19,15,26,14,60
0,16,1.93285,0,2,0,4,instinct,,,88,330,221,429,963,22,18,52,34,0,66,28,69
0,12,1.99949,0,2,0,4,instinct,,,148,293,320,540,889,19,62,20,39,1,42,57,34
0,13,2.00051,0,2,0,4,instinct,,,81,238,171,400,612,51,38,25,45,15,56,73,11
1,2,2.04201,0,2,0,4,instinct,,,123,211,272,481,602,1,23,42,49,12,11,3,23
1,18,1.95799,0,2,0,4,instinct,,,95,254,262,526,761,5,78,20,77,7,20,56,40
1,58,2.02632,0,2,0,4,instinct,,,123,345,346,432,600,73,23,42,56,11,6,53,23
1,53,1.97368,0,2,0,4,instinct,,,80,183,270,532,767,7,56,15,42,1,19,26,68
1,19,1.98593,0,2,0,4,instinct,,,101,179,207,600,614,49,79,40,33,1,2,22,27
1,29,2.01407,0,2,0,4,instinct,,,126,299,320,530,863,46,43,7,41,11,51,21,20
1,50,2.00445,0,2,0,4,instinct,,,118,164,272,427,600,78,58,71,76,8,40,44,46
1,63,1.99555,0,2,0,4,instinct,,,125,254,286,386,761,36,79,44,19,18,20,56,40
1,17,1.99202,0,2,0,4,instinct,,,80,183,252,484,767,17,56,9,21,10,19,76,13
1,51,2.00798,0,2,0,4,instinct,,,119,193,269,386,825,33,75,47,23,18,54,6,62
1,60,2.02479,0,2,0,4,instinct,,,95,245,244,526,971,5,80,15,42,3,20,26,68
1,10,1.97521,0,2,0,4,instinct,,,136,305,271,368,971,52,9,74,69,26,50,36,26
1,48,1.99609,0,2,0,4,instinct,,,133,219,346,448,835,73,22,49,43,5,40,23,46
1,56,2.00391,0,2,0,4,instinct,,,122,178,192,582,608,78,20,18,53,6,0,14,80
1,49,2.01211,0,2,0,4,instinct,,,125,198,240,386,998,14,79,1,19,18,26,6,61
1,28,1.98789,0,2,0,4,instinct,,,114,289,240,513,998,14,57,1,19,15,26,14,60
1,21,1.94583,0,2,0,4,instinct,,,96,198,296,551,747,51,79,51,32,16,66,7,64
1,7,2.05417,0,2,0,4,instinct,,,143,336,270,532,969,7,46,15,42,1,77,26,68
1,54,1.97028,0,2,0,4,instinct,,,126,316,289,505,608,78,58,67,41,9,0,27,79
1,30,2.02972,0,2,0,4,instinct,,,121,345,346,448,795,73,51,35,64,10,40,52,46
1,13,1.98333,0,2,0,4,instinct,,,81,238,171,400,612,51,38,25,45,15,56,73,11
1,55,2.01667,0,2,0,4,instinct,,,123,311,314,368,960,52,43,5,69,9,51,21,26
1,22,1.98542,0,2,0,4,instinct,,,90,214,252,396,879,69,47,26,54,6,1,57,41
1,24,2.01458,0,2,0,4,instinct,,,132,172,192,582,817,56,20,18,53,5,66,79,44
1,8,2.0583,0,2,0,4,instinct,,,133,204,258,558,835,78,22,49,43,8,11,23,64
1,20,1.9417,0,2,0,4,instinct,,,125,198,286,386,812,36,79,44,19,18,54,6,61
1,62,2.03064,0,2,0,4,instinct,,,121,345,346,551,747,73,79,35,32,10,40,52,46
1,59,1.96936,0,2,0,4,instinct,,,136,164,207,532,969,49,46,33,33,0,8,23,22
1,57,2.01774,0,2,0,4,instinct,,,81,305,271,368,610,52,38,25,69,26,56,73,11
1,61,1.98226,0,2,0,4,instinct,,,123,168,272,481,602,78,16,42,76,12,0,14,18
1,52,1.95402,0,2,0,4,instinct,,,123,211,272,532,602,7,46,42,42,1,77,26,68
1,1,2.04598,0,2,0,4,instinct,,,122,178,292,513,608,78,58,67,76,6,0,14,80
2,8,2.05776,0,2,0,4,instinct,,,133,204,258,558,835,78,22,49,43,8,11,23,64
2,92,1.94224,0,2,0,4,instinct,,,126,192,192,507,820,74,21,67,74,8,5,80,52
2,57,1.99308,0,2,0,4,instinct,,,81,305,271,368,610,52,38,25,69,26,56,73,11
2,80,2.00692,0,2,0,4,instinct,,,136,204,261,558,795,78,24,49,64,10,11,52,60
2,58,2.03076,0,2,0,4,instinct,,,123,345,346,432,600,73,23,42,56,11,6,53,23
2,94,1.96924,0,2,0,4,instinct,,,95,245,244,526,971,5,80,15,42,3,20,26,68
2,95,2.01664,0,2,0,4,instinct,,,123,345,346,481,774,65,23,38,64,15,40,10,15
2,81,1.98336,0,2,0,4,instinct,,,116,345,346,448,818,68,51,35,64,10,40,52,46
2,56,1.95125,0,2,0,4,instinct,,,122,178,192,582,608,78,20,18,53,6,0,14,80
2,87,2.04875,0,2,0,4,instinct,,,128,326,346,551,747,65,79,30,40,10,40,52,46
2,2,2.00154,0,2,0,4,instinct,,,123,211,272,481,602,1,23,42,49,12,11,3,23
2,91,1.99846,0,2,0,4,instinct,,,121,345,258,551,835,73,22,49,32,8,11,52,64
2,85,1.9657,0,2,0,4,instinct,,,121,345,346,448,795,78,22,49,64,8,11,23,64
2,89,2.0343,0,2,0,4,instinct,,,122,152,346,551,808,56,20,37,32,5,40,52,46
2,84,1.99811,0,2,0,4,instinct,,,123,172,192,568,817,58,20,5,69,5,66,79,26
2,50,2.00189,0,2,0,4,instinct,,,118,164,272,427,600,78,58,71,76,8,40,44,46
2,60,1.95478,0,2,0,4,instinct,,,95,245,244,526,971,5,80,15,42,3,20,26,68
2,62,2.04522,0,2,0,4,instinct,,,121,345,346,551,747,73,79,35,32,10,40,52,46
2,86,1.99475,0,2,0,4,instinct,,,125,236,244,518,999,75,80,64,46,6,0,14,73
2,24,2.00525,0,2,0,4,instinct,,,132,172,192,582,817,56,20,18,53,5,66,79,44
2,88,2.02152,0,2,0,4,instinct,,,95,311,244,368,971,52,43,15,69,9,51,26,68
2,49,1.97848,0,2,0,4,instinct,,,125,198,240,386,998,14,79,1,19,18,26,6,61
2,1,1.97495,0,2,0,4,instinct,,,122,178,292,513,608,78,58,67,76,6,0,14,80
2,51,2.02505,0,2,0,4,instinct,,,119,193,269,386,825,33,75,47,23,18,54,6,62
2,55,2.02159,0,2,0,4,instinct,,,123,311,314,368,960,52,43,5,69,9,51,21,26
2,82,1.97841,0,2,0,4,instinct,,,123,345,346,551,600,73,79,42,56,10,6,53,46
2,29,2.01936,0,2,0,4,instinct,,,126,299,320,530,863,46,43,7,41,11,51,21,20
2,30,1.98064,0,2,0,4,instinct,,,121,345,346,448,795,73,51,35,64,10,40,52,46
2,83,2.04944,0,2,0,4,instinct,,,95,245,258,558,835,78,22,15,43,3,11,23,64
2,90,1.95056,0,2,0,4,instinct,,,81,305,271,368,755,72,75,25,40,10,40,73,46
2,93,1.98653,0,2,0,4,instinct,,,80,306,271,434,632,79,51,24,64,26,40,56,46
2,7,2.01347,0,2,0,4,instinct,,,143,336,270,532,969,7,46,15,42,1,77,26,68
3,116,2.00048,0,2,0,4,instinct,,,95,245,258,558,835,78,22,15,43,3,11,23,64
3,123,1.99952,0,2,0,4,instinct,,,119,193,269,368,960,52,75,47,69,18,51,21,62
3,120,2.04127,0,2,0,4,instinct,,,120,349,258,420,835,78,25,15,56,3,6,31,69
3,51,1.95873,0,2,0,4,instinct,,,119,193,269,386,825,33,75,47,23,18,54,6,62
3,88,1.99946,0,2,0,4,instinct,,,95,311,244,368,971,52,43,15,69,9,51,26,68
3,8,2.00054,0,2,0,4,instinct,,,133,204,258,558,835,78,22,49,43,8,11,23,64
3,126,1.94156,0,2,0,4,instinct,,,95,204,248,558,815,78,22,22,43,3,10,23,68
3,118,2.05844,0,2,0,4,instinct,,,123,345,346,432,764,74,23,38,64,11,40,58,23
3,115,2.05608,0,2,0,4,instinct,,,133,188,346,558,874,70,25,42,56,11,11,23,17
3,50,1.94392,0,2,0,4,instinct,,,118,164,272,427,600,78,58,71,76,8,40,44,46
3,125,2.00052,0,2,0,4,instinct,,,123,345,346,481,960,65,23,5,69,9,40,21,15
3,113,1.99948,0,2,0,4,instinct,,,133,341,346,551,747,65,79,30,40,10,44,52,46
3,95,2.01035,0,2,0,4,instinct,,,123,345,346,481,774,65,23,38,64,15,40,10,15
3,2,1.98965,0,2,0,4,instinct,,,123,211,272,481,602,1,23,42,49,12,11,3,23
3,87,1.92955,0,2,0,4,instinct,,,128,326,346,551,747,65,79,30,40,10,40,52,46
3,83,2.07045,0,2,0,4,instinct,,,95,245,258,558,835,78,22,15,43,3,11,23,64
3,62,2.0011,0,2,0,4,instinct,,,121,345,346,551,747,73,79,35,32,10,40,52,46
3,124,1.9989,0,2,0,4,instinct,,,126,204,320,583,808,42,25,9,41,10,51,15,64
3,119,2.04129,0,2,0,4,instinct,,,143,336,279,566,727,65,79,30,42,13,77,52,46
3,80,1.95871,0,2,0,4,instinct,,,136,204,261,558,795,78,24,49,64,10,11,52,60
3,121,1.99099,0,2,0,4,instinct,,,128,204,258,558,747,80,80,49,33,7,40,49,64
3,24,2.00901,0,2,0,4,instinct,,,132,172,192,582,817,56,20,18,53,5,66,79,44
3,58,1.96253,0,2,0,4,instinct,,,123,345,346,432,600,73,23,42,56,11,6,53,23
3,112,2.03747,0,2,0,4,instinct,,,133,204,258,558,835,78,79,49,43,8,40,23,64
3,114,2.00889,0,2,0,4,instinct,,,123,331,338,520,747,7,54,35,49,10,77,29,45
3,122,1.99111,0,2,0,4,instinct,,,136,204,274,555,795,78,43,49,64,10,44,21,23
3,117,2.00563,0,2,0,4,instinct,,,143,336,258,532,835,78,46,15,42,8,11,23,68
3,55,1.99437,0,2,0,4,instinct,,,123,311,314,368,960,52,43,5,69,9,51,21,26
3,7,2.02682,0,2,0,4,instinct,,,143,336,270,532,969,7,46,15,42,1,77,26,68
3,89,1.97318,0,2,0,4,instinct,,,122,152,346,551,808,56,20,37,32,5,40,52,46
3,127,1.99021,0,2,0,4,instinct,,,122,152,314,374,822,56,43,5,32,8,45,21,28
3,29,2.00979,0,2,0,4,instinct,,,126,299,320,530,863,46,43,7,41,11,51,21,20
4,159,2.01561,0,2,0,4,instinct,,,120,349,258,420,835,78,25,15,56,3,11,23,64
4,158,1.98439,0,2,0,4,instinct,,,133,188,346,558,874,70,25,18,56,11,14,23,40
4,152,2.00315,0,2,0,4,instinct,,,143,336,277,566,940,68,46,15,42,13,80,31,68
4,145,1.99685,0,2,0,4,instinct,,,143,336,346,432,969,74,23,38,64,11,77,58,23
4,116,2.01409,0,2,0,4,instinct,,,95,245,258,558,835,78,22,15,43,3,11,23,64
4,155,1.98591,0,2,0,4,instinct,,,123,336,346,566,727,65,79,38,42,13,40,52,23
4,95,2.00568,0,2,0,4,instinct,,,123,345,346,481,774,65,23,38,64,15,40,10,15
4,7,1.99432,0,2,0,4,instinct,,,143,336,270,532,969,7,46,15,42,1,77,26,68
4,83,1.99126,0,2,0,4,instinct,,,95,245,258,558,835,78,22,15,43,3,11,23,64
4,153,2.00874,0,2,0,4,instinct,,,124,299,253,530,863,74,22,7,41,3,6,23,20
4,144,2.01936,0,2,0,4,instinct,,,123,345,279,566,774,65,79,30,64,13,40,52,46
4,157,1.98064,0,2,0,4,instinct,,,95,188,258,558,874,70,22,42,56,11,11,23,64
